Hazard Name,Hazard Description,Likelihood,Severity
Drop hazard,Hazard involving: drop hazard.,3,5
Security breach,Hazard involving: security breach.,1,3
Security breach,Hazard involving: security breach.,5,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,2
Support equipment hazard,Hazard involving: support equipment hazard.,1,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,3,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,5,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,4,4
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,4,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,5,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,2
Component substitution error,Hazard involving: component substitution error.,1,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,2
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,5,5
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,1,2
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,2,1
Security breach,Hazard involving: security breach.,5,1
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,5,2
PPE inadequacy,Hazard involving: ppe inadequacy.,4,5
Noise hazard,Hazard involving: noise hazard.,5,3
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,2,3
Security breach,Hazard involving: security breach.,3,3
Flying object impact,Hazard involving: flying object impact.,3,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,4,1
Electrical source hazard,Hazard involving: electrical source hazard.,2,2
Explosive substances,Hazard involving: explosive substances.,1,1
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",1,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,3
Collision with rail structure,Hazard involving: collision with rail structure.,4,5
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,3,5
Noise hazard,Hazard involving: noise hazard.,4,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,1
Flammable materials,Hazard involving: flammable materials.,3,2
System redundancy failure,Hazard involving: system redundancy failure.,4,3
Hydraulic system failure,Hazard involving: hydraulic system failure.,2,4
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,2,3
Pressure system failure,Hazard involving: pressure system failure.,1,4
Power supply failure,Hazard involving: power supply failure.,5,4
Hazardous construction materials,Hazard involving: hazardous construction materials.,2,2
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,1,4
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,4,5
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,4,3
Training inadequacy,Hazard involving: training inadequacy.,5,2
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,3
Support equipment hazard,Hazard involving: support equipment hazard.,4,3
Electrical protection failure,Hazard involving: electrical protection failure.,4,3
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",2,4
User error,Hazard involving: user error.,3,1
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,1,5
Explosion device,Hazard involving: explosion device.,3,1
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,4
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,2
Electrical protection failure,Hazard involving: electrical protection failure.,3,4
Pressure system failure,Hazard involving: pressure system failure.,1,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,4
Sharp object exposure,Hazard involving: sharp object exposure.,3,2
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,3,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,2,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,3,3
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,1,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,1
Damage containment failure,Hazard involving: damage containment failure.,1,5
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,1,2
Material incompatibilities,Hazard involving: material incompatibilities.,3,5
Failure of active protective system,Hazard involving: failure of active protective system.,1,4
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,4,5
Hostile act,Hazard involving: hostile act.,1,4
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,2,5
Hostile act,Hazard involving: hostile act.,2,2
Health hazard,Hazard involving: health hazard.,2,2
Power supply failure,Hazard involving: power supply failure.,4,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",2,3
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,5,3
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,5,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,5,1
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,4,3
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,4,1
Damage containment failure,Hazard involving: damage containment failure.,3,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,5
Maintenance error,Hazard involving: maintenance error.,2,5
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,4,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,5
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,1
Ventilation failure,Hazard involving: ventilation failure.,2,5
Component substitution error,Hazard involving: component substitution error.,1,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,5
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",3,4
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,3,4
Hostile act,Hazard involving: hostile act.,2,4
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,2
Toxic substance control failure,Hazard involving: toxic substance control failure.,1,3
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,2,3
Support equipment hazard,Hazard involving: support equipment hazard.,4,1
Sharp object exposure,Hazard involving: sharp object exposure.,3,2
Collision with object on track,Hazard involving: collision with object on track.,5,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,5
Toxic substance control failure,Hazard involving: toxic substance control failure.,5,4
Virus infection,Hazard involving: virus infection.,5,3
User error,Hazard involving: user error.,1,3
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,4,4
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,2,5
Health hazard,Hazard involving: health hazard.,4,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,2
Hydraulic system failure,Hazard involving: hydraulic system failure.,5,2
Flying object impact,Hazard involving: flying object impact.,2,2
Fire suppression system failure,Hazard involving: fire suppression system failure.,5,5
Explosive substances,Hazard involving: explosive substances.,3,1
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",4,2
Virus infection,Hazard involving: virus infection.,5,5
Material incompatibilities,Hazard involving: material incompatibilities.,2,5
Component substitution error,Hazard involving: component substitution error.,4,4
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,3,4
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,2
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,4,4
Person trapped,Hazard involving: person trapped.,4,1
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,1,4
Proof testing hazard,Hazard involving: proof testing hazard.,4,1
Crash safety hazard,Hazard involving: crash safety hazard.,4,1
Virus infection,Hazard involving: virus infection.,3,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,1,3
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,5,4
Hostile act,Hazard involving: hostile act.,4,2
"Slip, trip or fall hazard","Hazard involving: slip, trip or fall hazard.",5,3
System redundancy failure,Hazard involving: system redundancy failure.,2,1
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,2,3
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,2,1
Ventilation failure,Hazard involving: ventilation failure.,3,5
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,4,3
Design deviation,Hazard involving: design deviation.,4,1
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,4
Electrical source hazard,Hazard involving: electrical source hazard.,4,3
Material incompatibilities,Hazard involving: material incompatibilities.,1,3
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,5,2
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,1,2
Security breach,Hazard involving: security breach.,3,5
Supervision failure,Hazard involving: supervision failure.,2,3
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,4,3
Damage containment failure,Hazard involving: damage containment failure.,3,4
Design deviation,Hazard involving: design deviation.,4,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,3,5
Health hazard,Hazard involving: health hazard.,1,5
Warning alarm failure,Hazard involving: warning alarm failure.,4,3
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",2,2
Warning alarm failure,Hazard involving: warning alarm failure.,3,1
Power supply failure,Hazard involving: power supply failure.,4,5
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,3,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,4
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,2
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,1,2
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,3,1
Pressure system failure,Hazard involving: pressure system failure.,4,2
Drop hazard,Hazard involving: drop hazard.,2,5
Collision with object on track,Hazard involving: collision with object on track.,5,3
Pressure system failure,Hazard involving: pressure system failure.,5,5
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,3,1
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,1,3
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,1,3
Drop hazard,Hazard involving: drop hazard.,1,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,2,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,3
Collision with rail structure,Hazard involving: collision with rail structure.,2,3
Sharp object exposure,Hazard involving: sharp object exposure.,2,1
Fire suppression system failure,Hazard involving: fire suppression system failure.,3,1
Material incompatibilities,Hazard involving: material incompatibilities.,1,2
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,2
Fire or explosion hazard,Hazard involving: fire or explosion hazard.,3,5
Proof testing hazard,Hazard involving: proof testing hazard.,2,4
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,1,4
System redundancy failure,Hazard involving: system redundancy failure.,4,1
PPE inadequacy,Hazard involving: ppe inadequacy.,2,5
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,4
User error,Hazard involving: user error.,2,5
Security breach,Hazard involving: security breach.,5,5
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,1,2
Component substitution error,Hazard involving: component substitution error.,3,2
Security breach,Hazard involving: security breach.,1,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,4
Pressure system failure,Hazard involving: pressure system failure.,2,5
Virus infection,Hazard involving: virus infection.,5,1
Flammable materials,Hazard involving: flammable materials.,3,3
Hazardous construction materials,Hazard involving: hazardous construction materials.,3,5
Electrical source hazard,Hazard involving: electrical source hazard.,2,4
Hardware/software control failure,Hazard involving: hardware/software control failure.,2,4
Person trapped,Hazard involving: person trapped.,3,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,1
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,2,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,3
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,2
Collision with rail structure,Hazard involving: collision with rail structure.,4,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,1,4
Noise hazard,Hazard involving: noise hazard.,2,3
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,4,1
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,4,3
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,4
Virus infection,Hazard involving: virus infection.,5,1
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,1,4
Derailment due to object on track,Hazard involving: derailment due to object on track.,4,2
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,1,4
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,3,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,5
Flammable materials,Hazard involving: flammable materials.,2,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,5,4
Explosion device,Hazard involving: explosion device.,4,1
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,2,2
Maintenance error,Hazard involving: maintenance error.,1,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,4,3
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,1
Derailment due to object on track,Hazard involving: derailment due to object on track.,2,3
Foreign bodies and dust exposure,Hazard involving: foreign bodies and dust exposure.,3,1
Pressure system failure,Hazard involving: pressure system failure.,2,3
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,2,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,5,5
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,2,2
Component substitution error,Hazard involving: component substitution error.,1,1
Crash safety hazard,Hazard involving: crash safety hazard.,5,4
Material incompatibilities,Hazard involving: material incompatibilities.,4,4
Hazard containment failure,Hazard involving: hazard containment failure.,5,4
PPE inadequacy,Hazard involving: ppe inadequacy.,2,4
Pressure system failure,Hazard involving: pressure system failure.,3,5
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,3,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,4,5
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,4
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,3
Hydraulic system failure,Hazard involving: hydraulic system failure.,1,4
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,4
Hydraulic system failure,Hazard involving: hydraulic system failure.,2,5
Drop hazard,Hazard involving: drop hazard.,2,5
Electrical protection failure,Hazard involving: electrical protection failure.,4,3
Derailment due to object on track,Hazard involving: derailment due to object on track.,3,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,3,2
Noise hazard,Hazard involving: noise hazard.,3,5
Warning alarm failure,Hazard involving: warning alarm failure.,1,1
Hostile act,Hazard involving: hostile act.,3,2
Laser radiation exposure,Hazard involving: laser radiation exposure.,3,1
PPE inadequacy,Hazard involving: ppe inadequacy.,1,4
Impact from heavy object,Hazard involving: impact from heavy object.,1,4
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,3,5
Material incompatibilities,Hazard involving: material incompatibilities.,4,5
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,5
Crash safety hazard,Hazard involving: crash safety hazard.,1,1
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,3,3
PPE inadequacy,Hazard involving: ppe inadequacy.,2,2
Warning alarm failure,Hazard involving: warning alarm failure.,1,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,5,3
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,4,4
Damage containment failure,Hazard involving: damage containment failure.,3,4
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,4,5
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,3,4
Design deviation,Hazard involving: design deviation.,3,4
Support equipment hazard,Hazard involving: support equipment hazard.,2,2
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,3,1
Hostile act,Hazard involving: hostile act.,3,1
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,5,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,4,3
Failure of active protective system,Hazard involving: failure of active protective system.,3,4
System redundancy failure,Hazard involving: system redundancy failure.,2,5
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,3
Collision with rail structure,Hazard involving: collision with rail structure.,4,5
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,4,4
Incident recording failure,Hazard involving: incident recording failure.,2,1
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,3,5
Support equipment hazard,Hazard involving: support equipment hazard.,4,5
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,3,3
Explosion potential,Hazard involving: explosion potential.,2,5
Egress failure,Hazard involving: egress failure.,2,1
Explosion potential,Hazard involving: explosion potential.,2,4
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,2,4
Person trapped,Hazard involving: person trapped.,4,2
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,4,5
Training inadequacy,Hazard involving: training inadequacy.,5,2
Crash safety hazard,Hazard involving: crash safety hazard.,1,3
Support equipment hazard,Hazard involving: support equipment hazard.,2,3
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,2,5
User error,Hazard involving: user error.,5,5
Egress failure,Hazard involving: egress failure.,3,4
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,3,1
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,3,5
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,4,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,3
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,3,5
Maintenance error,Hazard involving: maintenance error.,5,1
Health hazard,Hazard involving: health hazard.,1,5
Collision with object on track,Hazard involving: collision with object on track.,5,1
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,3,3
Hostile act,Hazard involving: hostile act.,4,1
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,5,2
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,2
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,1,4
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,2,4
Health hazard,Hazard involving: health hazard.,2,1
Damage repair failure,Hazard involving: damage repair failure.,5,2
Explosion device,Hazard involving: explosion device.,3,5
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,3,5
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
Hostile act,Hazard involving: hostile act.,5,5
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,5,3
Health hazard,Hazard involving: health hazard.,1,4
Explosive substances,Hazard involving: explosive substances.,3,3
Explosion potential,Hazard involving: explosion potential.,3,2
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,1,2
Electrical source hazard,Hazard involving: electrical source hazard.,3,3
Sharp object exposure,Hazard involving: sharp object exposure.,3,5
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",5,3
Pressure system failure,Hazard involving: pressure system failure.,3,3
Laser radiation exposure,Hazard involving: laser radiation exposure.,4,1
Ventilation failure,Hazard involving: ventilation failure.,5,1
Incident recording failure,Hazard involving: incident recording failure.,3,5
Component substitution error,Hazard involving: component substitution error.,2,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,2
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,2,1
Collision with rail structure,Hazard involving: collision with rail structure.,3,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,3,2
Pressure system failure,Hazard involving: pressure system failure.,2,4
Sharp object exposure,Hazard involving: sharp object exposure.,1,2
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,2,1
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,5
Wet or uneven floor surface,Hazard involving: wet or uneven floor surface.,4,1
Hazardous construction materials,Hazard involving: hazardous construction materials.,4,4
Noise hazard,Hazard involving: noise hazard.,3,3
Electrical source hazard,Hazard involving: electrical source hazard.,1,1
Ventilation failure,Hazard involving: ventilation failure.,1,3
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,5,5
Incident recording failure,Hazard involving: incident recording failure.,2,3
Exposure to toxic/corrosive substances,Hazard involving: exposure to toxic/corrosive substances.,2,4
PPE inadequacy,Hazard involving: ppe inadequacy.,3,3
Support equipment hazard,Hazard involving: support equipment hazard.,2,5
Fall from height,Hazard involving: fall from height.,3,2
Person trapped,Hazard involving: person trapped.,5,5
Person trapped,Hazard involving: person trapped.,2,1
Person trapped,Hazard involving: person trapped.,4,2
Material incompatibilities,Hazard involving: material incompatibilities.,1,4
Power supply failure,Hazard involving: power supply failure.,2,4
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,1,3
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,2,3
Impact between rail vehicle and person,Hazard involving: impact between rail vehicle and person.,3,3
Proof testing hazard,Hazard involving: proof testing hazard.,2,2
PPE inadequacy,Hazard involving: ppe inadequacy.,3,5
Fail-safe design failure,Hazard involving: fail-safe design failure.,1,5
Failure of passive protective system,Hazard involving: failure of passive protective system.,3,4
Collision with rail structure,Hazard involving: collision with rail structure.,4,3
Hazardous material assembly issue,Hazard involving: hazardous material assembly issue.,3,5
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,1,5
Maintenance error,Hazard involving: maintenance error.,5,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,1,1
Failure of passive protective system,Hazard involving: failure of passive protective system.,4,4
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,2,2
Hydraulic arm or rotational machinery hazard,Hazard involving: hydraulic arm or rotational machinery hazard.,2,1
Electrical source hazard,Hazard involving: electrical source hazard.,2,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,2,3
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,5,3
Security breach,Hazard involving: security breach.,3,3
Failure of passive protective system,Hazard involving: failure of passive protective system.,1,2
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",4,3
Passive obstacle impact,Hazard involving: passive obstacle impact.,4,3
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,1,4
Explosion device,Hazard involving: explosion device.,3,3
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",3,3
Security breach,Hazard involving: security breach.,2,3
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,2,4
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,4
Explosive substances,Hazard involving: explosive substances.,2,2
Hardware/software control failure,Hazard involving: hardware/software control failure.,4,2
Maintenance error,Hazard involving: maintenance error.,1,5
Material incompatibilities,Hazard involving: material incompatibilities.,3,2
Fall from height,Hazard involving: fall from height.,2,5
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,4,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,3
Operator deviation,Hazard involving: operator deviation.,3,1
Fall from height,Hazard involving: fall from height.,4,2
Exposed wiring or faulty equipment,Hazard involving: exposed wiring or faulty equipment.,3,4
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,4
Explosive substances,Hazard involving: explosive substances.,2,5
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,2,4
Supervision failure,Hazard involving: supervision failure.,3,4
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,4,3
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,4
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,3,3
Power supply failure,Hazard involving: power supply failure.,3,1
Flying object impact,Hazard involving: flying object impact.,4,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,3,4
Warning alarm failure,Hazard involving: warning alarm failure.,2,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,2,4
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,4
User error,Hazard involving: user error.,1,2
